word1	word2	word3
语言学	语言学	语言学
研究	研究	研究
技术	技术	技术
语音	语音	语音
语音学	语音学	语音学
系统	系统	系统
计算机系统	计算机系统	计算机系统
测试	测试	测试
计算机	计算机	计算机
信息	信息	信息
人类	人类	人类
内容	内容	内容
自动	自动	自动
分类	分类	分类
学科	学科	学科
术语	术语	术语
国际	国际	国际
科学	科学	科学
文档	文档	文档
人们	人们	人们
问题	问题	问题
图灵	图灵	图灵
定义	定义	定义
方法	方法	方法
利用	利用	利用
分析	分析	分析
分支	分支	分支
情况	情况	情况
汉语	汉语	汉语
基本	基本	基本
领域	领域	领域
文本	文本	文本
标准	标准	标准
概念	概念	概念
社会	社会	社会
中文	中文	中文
语义	语义	语义
能力	能力	能力
目的	目的	目的
文字	文字	文字
对象	对象	对象
信息处理	信息处理	信息处理
词汇	词汇	词汇
国家	国家	国家
情感	情感	情感
反应	反应	反应
模型	模型	模型
关系	关系	关系
世界	世界	世界
发展	发展	发展
现象	现象	现象
发音	发音	发音
信息检索	信息检索	信息检索
汉字	汉字	汉字
方面	方面	方面
工具	工具	工具
学会	学会	学会
语言学家	语言学家	语言学家
理论	理论	理论
词典	词典	词典
特点	特点	特点
世纪	世纪	世纪
复数	复数	复数
智能	智能	智能
网络	网络	网络
自动识别	自动识别	自动识别
对话	对话	对话
属性	属性	属性
事件	事件	事件
含义	含义	含义
宗成庆	宗成庆	宗成庆
人工智能	人工智能	人工智能
编委	编委	编委
副主编	副主编	副主编
数学	数学	数学
委员会	委员会	委员会
工作	工作	工作
项目	项目	项目
交际	交际	交际
言学	言学	言学
产生	产生	产生
期刊	期刊	期刊
顶级	顶级	顶级
类型	类型	类型
学术会议	学术会议	学术会议
教授	教授	教授
专著	专著	专著
范围	范围	范围
物理	物理	物理
语法	语法	语法
兴趣	兴趣	兴趣
大量	大量	大量
规律	规律	规律
运用	运用	运用
理事	理事	理事
声学	声学	声学
论文	论文	论文
仪器	仪器	仪器
电子计算机	电子计算机	电子计算机
基础	基础	基础
句子	句子	句子
基本上	基本上	基本上
报告	报告	报告
设计	设计	设计
外延	外延	外延
篇章	篇章	篇章
加工	加工	加工
语言文字	语言文字	语言文字
大百科全书	大百科全书	大百科全书
评价	评价	评价
涌泉	涌泉	涌泉
教学	教学	教学
差异	差异	差异
名称	名称	名称
方言	方言	方言
研究者	研究者	研究者
实验	实验	实验
汉字信息处理	汉字信息处理	汉字信息处理
重点	重点	重点
文摘	文摘	文摘
检索	检索	检索
无法	无法	无法
机理	机理	机理
形式	形式	形式
交流	交流	交流
过程	过程	过程
大学	大学	大学
区分	区分	区分
用户	用户	用户
服务	服务	服务
研究员	研究员	研究员
人脑	人脑	人脑
目标	目标	目标
职务	职务	职务
结构	结构	结构
大脑	大脑	大脑
性能	性能	性能
华文	华文	华文
细节	细节	细节
专门	专门	专门
进展	进展	进展
舆情	舆情	舆情
